codigo_gesfincas;id_persona;nif;nombre_gesfincas;direccion;cp;carpeta_onedrive;match_method;match_score
21;1854;H15087653;C.P. PRINCIPE, 2-4;CL PRINCIPE, 2-4;15001;;;
22;1915;H15086234;C.P. PAYO GOMEZ, 1-3;CL PAYO GÓMEZ, 1 0;15004;;;
23;1948;H15155286;C.P. CIUDAD DE LUGO, 31-33;CL CIUDAD DE LUGO, 31-33;15004;023. C.P. CIUDAD DE LUGO, 31-33;NOMBRE;100%
25;2188;H15086226;C.P. EDIFICIO OLIMPIA;RIAZOR 9/A. VICENTI 12-14;15004;134. C.P. EDIFICIO GALERA;REVISAR;71%
26;2310;H15087950;C.P. PRIMO DE RIVERA, 1;AV PRIMO DE RIVERA 1;15006;;;
27;13894;H15517881;MERCED, 71-73;CL Merced 71-73;15009;027. C.P. MERCED, 71-73;NOMBRE;100%
28;2377;H15155336;C.P. ALAMEDA, 30-32/HUERTAS, 8;ALAMEDA, 30-32/HUERTAS, 8;15003;028. C.P. ALAMEDA, 30-32 HUERTAS, 8;NOMBRE;96%
29;2409;H15088040;C.P. EDIFICIO GRANADA;CL CANTON GRANDE, 5;15003;029 C.P. EDIFICIO GRANADA;NOMBRE;100%
30;2481;H15088032;C.P. ARZOBISPO LAGO, 8;CL ARZOBISPO LAGO, 8;15004;030. C.P. ARZOBISPO LAGO, 8;NOMBRE;100%
31;14039;H26718411;C.P. SAN LUCAS, 11;CL SAN LUCAS 11;15007;;;
32;2495;H15087604;C.P. MERCED, 77;CL MERCED, 77;15009;032. C.P. MERCED, 77;NOMBRE;100%
33;2544;H15090954;C.P. ENRIQUE DEQUIDT, 9;CL ENRIQUE DEQUIDT 9;15005;033. C.P. ENRIQUE DEQUIDT, 9;NOMBRE;100%
34;2577;H15160559;C.P. FONTAN, 1;CL FONTAN 1;15004;;;
36;2642;H15327158;C.P. REY ABDULLAH, 6-8;CL REY ABDULLAH, 6;15004;;;
37;2677;H15325566;C.P. PASEO DE LOS PUENTES, 2;PS PUENTES 2;15004;037 C.P. PASEO DE LOS PUENTES, 2;NOMBRE;100%
38;2711;H15327950;C.P. RUA NUEVA, 2;CL RUA NUEVA, 2;15003;012. C.P. RUA NUEVA, 25-27;REVISAR;85%
39;2725;H15325590;C.P. DURAN LORIGA, 9;CL DURAN LORIGA, 9;15003;;;
40;2758;H15354467;C.P. PASEO DE LOS PUENTES, 4;PS PUENTES 4;15004;040. C.P. PASEO DE LOS PUENTES, 4;NOMBRE;100%
41;2794;H15096811;C.P. SOCORRO, 2/PZ.JUAN NAYA, 5;SOCORRO,2/JUAN NAYA, 5;15003;;;
42;2848;H15366776;C.P. RAMON DE LA SAGRA, 14;CL RAMON DE LA SAGRA, 14;15005;042 C.P. RAMON DE LA SAGRA, 14;NOMBRE;100%
44;2884;H15327166;C.P. RAMON DE LA SAGRA, 6-8;CL RAMON DE LA SAGRA, 6-8;15005;044. RAMON DE LA SAGRA, 6-8;NOMBRE;100%
45;2925;H15310022;C.P. HUERTAS, 1-3;CL HUERTAS, 1-3;15003;045. C.P. HUERTAS, 1-3;NOMBRE;100%
46;2955;H15231038;C.P. MENENDEZ PELAYO, 20;CL MENENDEZ PELAYO, 20;15005;046 C.P. MENENDEZ PELAYO, 20;NOMBRE;100%
48;2985;H15342967;C.P. FERNANDO GONZALEZ, 7;CL FERNANDO GONZÁLEZ 7-9;15004;;;
49;3040;H15274699;C.P. CUESTA DE LA UNIÓN, 28;CL CUESTA DE LA UNIÓN 28;15005;;;
50;3055;H15755036;C.P. CAPITAN JUAN VARELA, 1-3;CL CAPITAN JUAN VARELA, 1-3;15007;050 C.P. CAPITAN JUAN VARELA, 1-3;NOMBRE;100%
51;3101;H15813876;C.P. RIEGO DE AGUA, 31;CL RIEGO DE AGUA, 31;15001;;;
52;1016;H15287675;C.P. JUAN FLOREZ, 80-82 (S.1);CL JUAN FLOREZ, 80-82;15005;001. C.P. JUAN FLOREZ, 80-82 E.DEQUIDT, 13-15;NOMBRE;71%
53;3205;H15396542;C.P. CABANA, 13;CL CABANA 13;15006;059. C.P. CABANA, 5-7;REVISAR;74%
55;3213;H15097165;C.P. ALFREDO VICENTI, 17-19;CL ALFREDO VICENTI, 17-19;15004;055 C.P. ALFREDO VICENTI, 17-19;NOMBRE;100%
56;3270;H15068182;C.P. LINARES RIVAS, 28-30-32;AV LINARES RIVAS, 28-30-32;15005;056. C.P. LINARES RIVAS, 28-30-32;NOMBRE;100%
58;3308;H15166317;C.P. CHILE, 19-25;CL CHILE, 19-25;15009;058. C.P. CHILE, 19-25;NOMBRE;100%
59;3502;H15470867;C.P. CABANA, 5-7;CL CABANA, 5-7;15006;;;
60;3515;H15438211;C.P. LINARES RIVAS, 33-34;AV LINARES RIVAS, 33-34;15005;060 LINARES RIVAS, 33-34;NOMBRE;100%
61;3538;H15462989;C.P. ORENSE, 10;PZ ORENSE 10;15004;061. C.P. ORENSE, 10;NOMBRE;100%
64;3557;H15257520;C.P. PASEO MARITIMO, 1;CL PASEO MARITIMO, 1;15002;;;
65;3609;H15793334;C.P. MARCIAL DEL ADALID, 17-19;CL MARCIAL DEL ADALID, 17-19;15005;065. MARCIAL DEL ADALID, 17-19;NOMBRE;100%
66;1014;H15377005;C.P. ORENSE, 7-8/FEDERICO TAPIA,7;PZ ORENSE 7-8;15004;066 C.P. ORENSE, 7-8 FEDERICO TAPIA,7;NOMBRE;96%
67;3728;H15520810;C.P. PASCUAL VEIGA, 32;CL PASCUAL VEIGA, 32;15010;067. C.P. PASCUAL VEIGA, 32;NOMBRE;100%
69;3756;H15524259;C.P. PADRE FEIJOO, 11;CL PADRE FEIJOO, 11;15004;;;
70;3781;H15139744;C.P. JUAN FLOREZ, 64-66;CL JUAN FLOREZ 64;15004;;;
72;3817;H15320641;C.P. CANTON PEQUEÑO, 29/ALAMEDA, 2;CL CANTON PEQUEÑO, 29;15003;072. C.P. CANTON PEQUEÑO, 29, ALAMEDA, 2;NOMBRE;96%
73;3847;H15292089;C.P. MAGISTRADO MANUEL ARTIME, 12;CL MAGISTRADO MANUEL ARTIME, 12;15004;;;
74;3863;H15170368;C.P. NOVOA SANTOS, 6-8;CL NOVOA SANTOS, 6-8;15006;074. C.P. NOVOA SANTOS, 6-8;NOMBRE;100%
75;3910;H15637770;C.P. FERNANDEZ LATORRE, 5-9;CL FERNANDEZ LATORRE, 5-9;15006;075. C.P. FERNANDEZ LATORRE, 5-9;NOMBRE;100%
76;3946;H15658230;C.P. MANUEL AZAÑA, 54-56-58;CL MANUEL AZAÑA, 54-56-58;15011;;;
78;4032;H15793623;C.P. JUAN GONZÁLEZ RODRÍGUEZ, 12;CL JUAN GONZÁLEZ RODRÍGUEZ 12;15011;;;
79;4076;H15846918;C.P. FINISTERRE, 53;AV FINISTERRE, 53;15004;;;
80;4090;H15671738;C.P. LINARES RIVAS, 1-2-3;AV LINARES RIVAS, 1-2-3;15005;010. LINARES RIVAS, 1;REVISAR;88%
81;4123;H15257314;C.P. EMILIA PARDO BAZAN, 8-10;CL EMILIA PARDO BAZAN, 8-10;15005;192. C.P. EMILIA PARDO BAZÁN, 20;REVISAR;91%
82;4142;H15374952;C.P. EMILIA PARDO BAZAN, 18;CL EMILIA PARDO BAZAN, 18;15005;084. C.P. EMILIA PARDO BAZAN, 32;REVISAR;90%
83;4181;H15161656;C.P. PLA Y CANCELA, 37;CL PLA Y CANCELA, 37;15005;;;
84;4207;H15872278;C.P. EMILIA PARDO BAZAN, 32;CL EMILIA PARDO BAZAN, 32;15005;;;
86;4214;H15362437;C.P. RONDA DE NELLE, 30;RD NELLE 30;15005;086. C.P. RONDA DE NELLE, 30;NOMBRE;100%
87;4235;H15290232;C.P. ARCO, 13-15;CL ARCO, 13-15;15003;;;
89;4276;H15591597;C.P. MARIA PITA, 24;PZ MARIA PITA, 24;15001;106. C.P. MARIA PITA, 9;REVISAR;88%
90;12539;H21990049;ESPACIO CORUÑA;CL Barbadillo, 4;28042;;;
91;12544;H21989355;ESPACIO CORUÑA (PLANTA BAJA);CL José Pascual López-Cortón, 10;15008;;;
92;12546;H21989306;ESPACIO CORUÑA (LOCALES PLANTA 1º,2º Y 3º);CL José Pascual López Cortón, 10;15008;;;
93;12737;H21952601;ESPACIO CORUÑA (SÓTANO 1);CL José Pasacual López-Cortón, 10;15008;;;
94;12739;H21952569;ESPACIO CORUÑA (GARAJES SÓTANO 2);CL José Pascual López-Cortón, 10;15008;;;
96;4290;H15363161;C.P. MERCED, 75;CL MERCED, 75;15009;;;
97;4372;H15889652;C.P. ETIOPIA, 4-6;CL ETIOPIA, 4-6;15172;097. C.P. ETIOPIA 4-6-8;NOMBRE;92%
98;4421;H15104060;C.P. FERNANDO GONZALEZ, 6;CL FERNANDO GONZALEZ, 6;15004;;;
99;4463;H15917461;C.P. SAN AMARO, 27;CL SAN AMARO, 27;15002;;;
100;15052;H70242425;C.P. BARRIE DE LA MAZA, 17;CL BARRIE DE LA MAZA, 17;15003;100. C.P. BARRIE DE LA MAZA, 17;CODIGO;100%
101;15082;H15374762;C.P. GARAJE BARRIÉ, 17 - SOCORRO, 30;CL BARRIE, 17;15003;;;
102;4478;H15965544;C.P. SAN SEBASTIAN, 19;CL SAN SEBASTIAN, 19;15007;102. C.P. SAN SEBASTIÁN, 19;CODIGO;100%
103;4504;H15366115;C.P. PADRE SARMIENTO, 18;CL PADRE SARMIENTO, 18;15005;;;
104;4534;H15996432;C.P. FINISTERRE, 22;CL FINISTERRE, 22;15004;;;
105;4550;H15996457;C.P. REAL,96;CL REAL, 96;15003;105. C.P. REAL 96;CODIGO;100%
106;4566;H15696693;C.P. MARIA PITA, 9;PZ MARIA PITA, 9;15001;106. C.P. MARIA PITA, 9;CODIGO;100%
107;4581;H70009071;C.P. GAITEIRA, 33-35;CL GAITEIRA, 33-35;15009;107. C.P. GAITEIRA, 33-35;CODIGO;100%
108;554;H15661408;C.P. ALCALDE PUGA Y PARGA, 5;CL ALCALDE PUGA Y PARGA, 5;15006;108. C.P. ALCALDE PUGA Y PARGA, 5;CODIGO;100%
109;4673;H15293194;C.P. REAL, 85;CL REAL, 85;15003;109. C.P. REAL, 85;CODIGO;100%
110;4690;H15375744;C.P. SANCHEZ BREGUA, 8 / PICAVIA, 8;CL SÁNCHEZ BREGUA 6-8;15004;110 SANCHEZ BREGUA, 8 PICAVIA, 8;CODIGO;100%
111;4729;H70053699;C.P. AVENIDA DE OZA, 86;AV OZA 86;15006;;;
112;15114;H15288798;C.P. SOCORRO, 2;CL SOCORRO, 30;15003;112. C.P. SOCORRO, 30;REVISAR;100%
113;4759;H15379662;C.P. ALFONSO MOLINA, 4;AV ALFONSO MOLINA 4;15006;113. C.P. ALFONSO MOLINA, 4;CODIGO;100%
114;4797;H70332408;COMUNIDAD ESPECIAL DE SERVICIOS;AV LINARES RIVAS, 43-44-47 F.TAPIA;15005;;;
115;5076;H15509599;C.P. CHARLES DARWIN, 15;CL CHARLES DARWIN, 15;15172;115. C.P. CHARLES DARWIN, 15;CODIGO;100%
116;5138;H15085640;C.P. RAMON DE LA SAGRA, 1;CL RAMON DE LA SAGRA, 1;15005;;;
117;4581;H70009071;C.P. GAITEIRA, 33-35 (GARAJES);CL GAITEIRA, 33-35;15009;;;
118;5182;H15085681;C.P. SANCHEZ BREGUA, 7;CL SANCHEZ BREGUA, 7;15004;118. SANCHEZ BREGUA, 7;CODIGO;100%
119;5197;H15566656;C.P. RAMON DE LA SAGRA, 10;CL RAMON DE LA SAGRA, 10;15005;;;
120;541;H15086028;C.P. BUENOS AIRES, 8;CL BUENOS AIRES, 8;15004;;;
121;5255;H15520976;C.P. EDIFICIO ARCO;AV PORTAZGO, 2-4-6;15174;;;
124;5374;H15107170;C.P. NICARAGUA,12;CL NICARAGUA, 12;15005;124. C.P. NICARAGUA,12;CODIGO;100%
125;5406;H70201538;C.P. ALFREDO VICENTI, 40;CL ALFREDO VICENTI, 40;15004;;;
126;5412;H15629587;C.P. REAL, 29;CL REAL 29;15003;;;
127;5420;H70248760;C.P. MIRADOR DE EIRIS;CL. FERRER, CL DABAN, CL. SOLIS;15008;127. C.P. MIRADOR DE EIRIS;CODIGO;100%
128;5660;H15108517;C.P. CALVO SOTELO, 21;AV CALVO SOTELO, 21;15004;128. C.P. CALVO SOTELO, 21;CODIGO;100%
130;5691;H15084585;C.P.NOVOA SANTOS 1-3,POSE 2 Y EJERCITO 8;CL NOVOA SANTOS 1, EJERCITO 8, PIÑEIROS POSE  2;15006;130. C.P.NOVOA SANTOS 1-3,POSE 2 Y EJERCITO 8;CODIGO;100%
131;5877;H15260771;C.P. RAMON Y CAJAL, 15-17;CL RAMON Y CAJAL, 15-17 (EDIFICIO BAHÍA);15006;131. C.P. RAMON Y CAJAL, 15-17;CODIGO;100%
132;5905;H70251681;C.P. ENRIQUE DEQUIDT, 3;CL ENRIQUE DEQUIDT 3;15005;132. C.P. ENRIQUE DEQUIDT, 3;CODIGO;100%
133;5910;H15605967;C.P. PLAZA DE LUGO 7-8;PZ LUGO, 7;15005;189. PZ. DE LUGO, 11;REVISAR;73%
134;5920;H15495542;C.P. EDIFICIO GALERA;CL SAN ANDRÉS 23;15003;134. C.P. EDIFICIO GALERA;CODIGO;100%
135;6037;H15261480;C.P. HERCULES, 83;AV HÉRCULES, 83;15002;;;
136;6063;H15438252;C.P. ALFONSO MOLINA, 6;AV ALFONSO MOLINA, 6;15005;136. C.P. ALFONSO MOLINA, 6;CODIGO;100%
137;5420;H70248760;C.P. MIRADOR DE EIRIS (GARAJES);CL. FERRER, CL DABAN, CL. SOLIS;15008;;;
138;6325;H70286604;C.P. JUANA DE VEGA,11;CL JUANA DE VEGA, 11;15004;193. C.P. JUANA DE VEGA, 6;REVISAR;90%
139;6336;H70315031;C.P. TABERNAS, 2;CL TABERNAS, 2;15001;139. C.P. TABERNAS, 2;CODIGO;100%
140;6349;H70314034;C.P. GALERA, 51;CL GALERA, 51;15003;;;
141;6357;H15401615;C.P. AVDA. EJERCITO, 12-14-16;AV EJERCITO, 12-14-16;15006;141. C.P. AVDA. EJERCITO, 12-14-16;CODIGO;100%
142;6492;H15646391;C.P. CASTIÑEIRAS, 40-42;CL CASTIÑEIRAS,40-42;15006;142. C.P. CASTIÑEIRAS, 40-42;CODIGO;100%
143;6515;H15363484;C.P. EDIFICIO LAS NIEVES;CL DURÁN LORIGA,2-4-6 y SANTA CATALINA,11-13;15003;;;
145;6951;H70341037;C.P. SARDIÑEIRA, 25;CL SARDIÑEIRA, 25;15007;145 C.P. SARDIÑEIRA, 25;CODIGO;100%
146;6967;H15802259;C.P. CARMEN, 26;CL CARMEN, 26;15002;146. C.P. CARMEN, 26;CODIGO;100%
147;6979;H15277486;C.P. MAESTRANZA,28;CL MAESTRANZA, 28;15001;173. C.P. MAESTRANZA, 1;REVISAR;88%
148;6993;H15795636;C.P.ZONA DEPORTIVA PRIVADA URB.ICARIA II;URB. ICARIA II Y III;15179;;;
149;7135;H15325889;C.P.NICARAGUA, 16;CL NICARAGUA, 16;15005;149. C.P. NICARAGUA, 16;CODIGO;100%
151;7193;H70382098;C.P. GARAJES MARCIAL DEL ADALID, 1;CL MARCIAL DEL ADALID, 1;15005;;;
152;7213;H15513013;C.P. GARAJE CARACAS;CL CARACAS ESQ.TOURIÑANA, 22;15140;;;
153;7275;H15898380;C.P. FERROL, 10;CL FERROL, 10;15004;;;
154;7279;H15542574;C.P. HABITAT RESIDENCIAL PUENTE PASAJE,1;CL HABITAT PUENTE PASAJE, 1;15172;154. C.P. HABITAT RESIDENCIAL PUENTE PASAJE,1;CODIGO;100%
155;3213;H15097165;C.P. ALFREDO VICENTI, 17-19 (GARAJE);CL ALFREDO VICENTI, 17-19;15004;;;
156;11957;H15084817;C.P. CALVO SOTELO, 19;AV Calvo Sotelo, 19;15004;156. C.P. CALVO SOTELO, 19;CODIGO;100%
158;5420;H70248760;C.P. MIRADOR DE EIRIS;CL. FERRER, CL DABAN, CL. SOLIS;15008;;;
159;7514;H15238165;C.P. FERNANDO MACIAS, 3;CL FERNANDO MACIAS, 3;15004;159. C.P. FERNANDO MACIAS, 3;CODIGO;100%
160;7569;H15295058;C.P. SAN ANDRÉS, 125;CL SAN ANDRÉS, 125;15003;;;
161;7581;H15090673;C.P. MARÍA PITA, 12;CL MARIA PITA, 12;15001;;;
162;7592;H15109663;C.P. RAMON Y CAJAL 1-3, EJERCITO 2;CL RAMÓN Y CAJAL 1-3, EJÉRCITO 2;15006;162. C.P. RAMON Y CAJAL 1-3, EJERCITO 2;CODIGO;100%
164;7658;H15512767;COMUNIDAD USUARIOS APARCAMIENTO PZ. VIGO;CL APARCAMIENTO PZA. DE VIGO;15005;;;
167;7801;H70248109;MANCOMUNIDAD GARAJE VIOÑO;CL F.1-3, R.F 7,E.F 4,E.F 2 Y PARCELA EL4;15008;167. MANCOMUNIDAD GARAJE VIOÑO;CODIGO;100%
168;8306;H15768393;C.P. FEDERICO TAPIA, 33-35;CL FEDERICO TAPIA, 33;15005;168. FEDERICO TAPIA, 33;CODIGO;100%
169;8314;E15163892;C.P. FALPERRA, 27;CL Falperra 27;15005;;;
170;8332;H70460688;C.P. TRAVESÍA DE HUERTAS, 5;TR HUERTAS 5;15003;;;
171;8337;H70215991;C.P. FRATERNIDAD, 1-3;CL FRATERNIDAD, 1-3;15008;171. C.P. FRATERNIDAD, 1-3;CODIGO;100%
172;8498;H70215983;C.P. ENCICLOPEDIA FRANCESA, 4;LG PARCELA M4.A, POLÍGONO F8.01, S/N;15008;172. C.P. ENCICLOPEDIA FRANCESA, 4;CODIGO;100%
173;8582;H15767122;C.P. MAESTRANZA, 1;CL MAESTRANZA 1;15001;173. C.P. MAESTRANZA, 1;CODIGO;100%
174;8668;H70221957;C.P. REVOLUCIÓN FRANCESA, 7;CL REVOLUCIÓN FRANCESA, 7;15008;;;
175;8777;H70266747;C.P. CALLE ESTANQUE, 22;CL ESTANQUE 22;15679;;;
176;8830;H15889645;C.P. ETIOPÍA, 8;CL ETIOPIA, 8;15172;;;
177;8842;H70333745;C.P. MIRAMAR, 2;CL MIRAMAR, 2;15006;;;
178;8850;H15304314;C.P. TRABAJO 4;CL TRABAJO 4;15002;178. C.P. TRABAJO 4;CODIGO;100%
179;8857;H70571898;C.P. ALCALDE ASUNSOLO, 2;CL ALCALDE ASUNSOLO 2;15007;;;
180;4090;H15671738;C.P. LINARES RIVAS, 1-2-3 (GARAJE);AV LINARES RIVAS, 1-2-3;15005;180. C.P. LINARES RIVAS, 1-2-3 (GARAJE);CODIGO;100%
181;6357;H15401615;C.P. AVDA. EJERCITO, 12-14-16;AV EJERCITO, 12-14-16;15006;;;
182;10374;H70229026;C.P. DIVISIÓN AZUL, 7;CL ANTÓN VILAR PONTE 7;15005;182. C.P. ANTÓN VILAR PONTE, 7;CODIGO;100%
183;4181;H15161656;C.P. PLA Y CANCELA, 37 (GARAJE);CL PLA Y CANCELA, 37;15005;;;
184;8933;H15440118;C.P. FERNANDEZ LATORRE, 52;AV FERNANDEZ LATORRE, 52;15006;184. C.P. FERNANDEZ LATORRE, 52;CODIGO;100%
185;10447;H70611132;SUBCOMUNIDAD TRASTEROS MAESTRANZA 1;CL MAESTRANZA 1;15001;;;
186;10440;H70613971;C.P. RAMÓN DE LA SAGRA 12;CL RAMÓN DE LA SAGRA 12;15005;;;
188;10561;H15377294;C.P. PANADERAS, 8-10;CL Panaderas 8-10;15001;;;
190;10674;H70149273;C.P. PLAZA DE ESPAÑA, 22;PZ DE ESPAÑA, 22;15001;;;
191;10707;H02773513;C.P. ORQUESTA SINFÓNICA DE GALICIA, 21;CL ORQUESTA SINFONICA DE GALICIA, 21;15004;191. C.P. ORQUESTA SINFÓNICA DE GALICIA, 21;CODIGO;100%
192;11140;H15085830;C.P. EMILIA PARDO BAZÁN, 20;CL Emilia Pardo Bazán 20;15005;192. C.P. EMILIA PARDO BAZÁN, 20;CODIGO;100%
193;11465;H15324825;C.P. JUANA DE VEGA, 6;CL JUANA DE VEGA 6;15004;193. C.P. JUANA DE VEGA, 6;CODIGO;100%
196;4290;H15363161;C.P. MERCED, 75 (GARAJE);CL MERCED, 75;15009;;;
197;4372;H15889652;C.P. ETIOPIA, 4-6-8 (GARAJE);CL ETIOPIA, 4-6;15172;;;
200;9070;H15000000;COMUNIDAD DE PRUEBA;COMUNIDAD DE PRUEBA;15011;;;
4329;9708;32484442R;GASALLA FERNANDEZ, MERCEDES;CL María de Molina 68;28006;;;
4373;4759;H15379662;COMUNIDAD PROP. ALFONSO MOLINA Nº 4;AV ALFONSO MOLINA 4;15006;;;
4417;9954;E70542154;COMUNIDAD HEREDITARIA JOSE ALVAREZ AREAS;Av. Conchiñas 13, 5ºB;15010;;;
